enq_qdepth1,deq_timedelta1,deq_qdepth1, enq_qdepth2, deq_timedelta2, deq_qdepth2,enq_qdepth3,deq_timedelta3,deq_qdepth3,Buffer,ReportedBitrate,FPS,CalcBitrate,q_size
0.0,518.0,0.0,0.0,55.0,0.0,0.0,64.0,0.0,9.3,1867.0,24.0,65121.0,0.0
8.0,2497.0,9.0,0.0,59.0,0.0,0.0,71.0,0.0,8.236,1867.0,24.0,65211.0,0.0
1.0,277.0,0.0,0.0,51.0,0.0,0.0,69.0,0.0,7.444,1867.0,24.0,65323.0,0.0
4.0,3903.0,0.0,0.0,43.0,0.0,0.0,63.0,0.0,7.47,639.0,18.0,65769.0,0.0
4.0,1127.0,1.0,0.0,81.0,0.0,0.0,25.0,0.0,10.409,639.0,18.0,65905.0,0.0
11.0,4283.0,10.0,0.0,49.0,0.0,0.0,44.0,0.0,13.334,639.0,18.0,66039.0,0.0
2.0,411.0,0.0,0.0,56.0,0.0,0.0,70.0,0.0,11.479,639.0,18.0,66290.0,0.0
0.0,178.0,0.0,0.0,46.0,0.0,0.0,56.0,0.0,10.416,639.0,18.0,66400.0,0.0
0.0,180.0,0.0,0.0,66.0,0.0,0.0,76.0,0.0,12.284,639.0,18.0,66635.0,0.0
0.0,4586.0,10.0,0.0,42.0,0.0,0.0,103.0,0.0,11.488,639.0,18.0,66758.0,0.0
4.0,4780.0,16.0,0.0,44.0,0.0,0.0,108.0,0.0,10.427,639.0,18.0,66882.0,0.0
0.0,3395.0,9.0,0.0,57.0,0.0,0.0,55.0,0.0,10.442,639.0,18.0,67354.0,0.0
0.0,7059.0,1.0,0.0,38.0,0.0,0.0,64.0,0.0,12.315,639.0,18.0,67589.0,0.0
0.0,571.0,2.0,0.0,52.0,0.0,0.0,54.0,0.0,11.251,639.0,18.0,67702.0,0.0
0.0,1533.0,0.0,0.0,69.0,0.0,0.0,85.0,0.0,10.459,639.0,18.0,67819.0,0.0
0.0,2590.0,7.0,0.0,45.0,0.0,0.0,59.0,0.0,13.394,639.0,18.0,67943.0,0.0
0.0,170.0,0.0,0.0,46.0,0.0,0.0,32.0,0.0,12.33,639.0,18.0,68063.0,0.0
16.0,1815.0,0.0,0.0,91.0,0.0,0.0,69.0,0.0,11.272,1867.0,24.0,68184.0,0.0
5.0,406.0,1.0,0.0,51.0,0.0,0.0,76.0,0.0,10.283,1867.0,24.0,68307.0,0.0
1.0,3686.0,0.0,0.0,63.0,0.0,0.0,41.0,0.0,8.359,1867.0,24.0,68561.0,0.0
0.0,520.0,0.0,0.0,56.0,0.0,0.0,46.0,0.0,7.292,1867.0,24.0,68686.0,0.0
